Description,Accuracy,Base Rate,Selection Rate,Disparate Impact,Statistical Parity Difference,Between Group Coefficient of Variation,Between Group Generalized Entropy Index,Between Group Theil Index,Mean Difference,Smoothed Empirical Differential Fairness,Consistency,Average Absolute Odds Difference,Average Odds Difference,Average Predictive Value Difference,Between All Groups Coefficient of Variation,Between All Groups Generalized Entropy Index,Between All Groups Theil Index,Coefficient of Variation,Differential Fairness Bias Amplification,Equal Opportunity Difference,Equalized Odds Difference,Error Rate,Error Rate Difference,Error Rate Ratio,False Discovery Rate,False Discovery Rate Difference,False Discovery Rate Ratio,False Negative Rate,False Negative Rate Difference,False Negative Rate Ratio,False Omission Rate,False Omission Rate Difference,False Omission Rate Ratio,False Positive Rate,False Positive Rate Difference,False Positive Rate Ratio,Generalized Entropy Index,Generalized Equalized Odds Difference,Generalized False Negative Rate,Generalized False Positive Rate,Generalized True Negative Rate,Generalized True Positive Rate,Negative Predictive Value,Number of False Negatives,Number of False Positives,Number of Generalized False Negatives,Number of Generalized False Positives,Number of Generalized True Negatives,Number of Generalized True Positives,Number of Instances,Number of Negatives,Number of Positives,Number of Predicted Negatives,Number of Predicted Positives,Number of True Negatives,Number of True Positives,Positive Predictive Value,Power,Precision,Recall,Sensitivity,Specificity,Theil Index,True Negative Rate,True Positive Rate,True Positive Rate Difference
CNN Reweighed model-CM-AGE Mitigation,0.4929742388758782,0.4996096799375488,0.5341530054644809,1.176760061553671,0.09136749482691264,0.03763552943054665,0.0007082165377587716,0.0006946518001286139,0.09136749482691264,0.01632713868039881,0.953708040593287,0.09226017222940214,0.09226017222940214,-0.024367570176257347,0.03763552943054665,0.0007082165377587716,0.0006946518001286139,0.6874714864913684,0.19317936616882103,0.18434999914451722,0.18434999914451722,0.5070257611241218,-0.09052711872783537,0.827277498741222,0.5069419071976616,-0.07107782414832103,0.8638942021544851,0.4728515625,-0.18434999914451716,0.6365347390269481,0.5071219103477168,-0.11981296450083573,0.7722816538403425,0.5411466458658346,0.00017034531428705701,1.0003148048210109,0.23630852236932587,0.18434999914451722,0.4728515625,0.5411466458658346,0.4588533541341654,0.5271484375,0.4928780896522832,2421.0,2775.0,2421.0,2775.0,2353.0,2699.0,10248.0,5128.0,5120.0,4774.0,5474.0,2353.0,2699.0,0.4930580928023383,2699.0,0.4930580928023383,0.5271484375,0.5271484375,0.4588533541341654,0.3288928403525026,0.4588533541341654,0.5271484375,0.18434999914451722
CNN Reweighed model-CM-AGE Mitigation,0.4929742388758782,0.4996096799375488,0.5341530054644809,1.176760061553671,0.09136749482691264,0.03763552943054665,0.0007082165377587716,0.0006946518001286139,0.09136749482691264,0.01632713868039881,0.953708040593287,0.09226017222940214,0.09226017222940214,-0.024367570176257347,0.03763552943054665,0.0007082165377587716,0.0006946518001286139,0.6874714864913684,0.19317936616882103,0.18434999914451722,0.18434999914451722,0.5070257611241218,-0.09052711872783537,0.827277498741222,0.5069419071976616,-0.07107782414832103,0.8638942021544851,0.4728515625,-0.18434999914451716,0.6365347390269481,0.5071219103477168,-0.11981296450083573,0.7722816538403425,0.5411466458658346,0.00017034531428705701,1.0003148048210109,0.23630852236932587,0.18434999914451722,0.4728515625,0.5411466458658346,0.4588533541341654,0.5271484375,0.4928780896522832,2421.0,2775.0,2421.0,2775.0,2353.0,2699.0,10248.0,5128.0,5120.0,4774.0,5474.0,2353.0,2699.0,0.4930580928023383,2699.0,0.4930580928023383,0.5271484375,0.5271484375,0.4588533541341654,0.3288928403525026,0.4588533541341654,0.5271484375,0.18434999914451722
CNN model-CM-AGE&GENDER Mitigation,0.4812646370023419,0.5035128805620609,0.540007806401249,1.0502880719693284,0.0307615500275501,0.8840712772854121,0.39079101166053,0.5763368679402641,0.0307615500275501,0.6896713627602191,0.9519516003122567,0.06415032487089023,0.06415032487089023,0.17717704080073668,0.1512203333838146,0.011433794614356016,0.011632296224437068,0.693980861606315,-0.1805818986049602,0.06092223236336303,0.06737841737841743,0.5187353629976581,-0.049112715692347875,0.9186281683875274,0.5140946873870618,-0.1769175473928722,0.7135381596413937,0.47887596899224805,-0.06092223236336303,0.8759570121680433,0.5241832838353839,0.17743653420860117,1.3051638779219152,0.5591588050314465,0.06737841737841743,1.0963641383618683,0.24080471813792165,0.06737841737841743,0.47887596899224805,0.5591588050314465,0.44084119496855345,0.521124031007752,0.475816716164616,2471.0,2845.0,2471.0,2845.0,2243.0,2689.0,10248.0,5088.0,5160.0,4714.0,5534.0,2243.0,2689.0,0.4859053126129382,2689.0,0.4859053126129382,0.521124031007752,0.521124031007752,0.44084119496855345,0.33546078367745746,0.44084119496855345,0.521124031007752,0.06092223236336303
CNN model-CM-AGE&GENDER Mitigation,0.4812646370023419,0.5035128805620609,0.540007806401249,1.0502880719693284,0.0307615500275501,0.8840712772854121,0.39079101166053,0.5763368679402641,0.0307615500275501,0.6896713627602191,0.9519516003122567,0.06415032487089023,0.06415032487089023,0.17717704080073668,0.1512203333838146,0.011433794614356016,0.011632296224437068,0.693980861606315,-0.1805818986049602,0.06092223236336303,0.06737841737841743,0.5187353629976581,-0.049112715692347875,0.9186281683875274,0.5140946873870618,-0.1769175473928722,0.7135381596413937,0.47887596899224805,-0.06092223236336303,0.8759570121680433,0.5241832838353839,0.17743653420860117,1.3051638779219152,0.5591588050314465,0.06737841737841743,1.0963641383618683,0.24080471813792165,0.06737841737841743,0.47887596899224805,0.5591588050314465,0.44084119496855345,0.521124031007752,0.475816716164616,2471.0,2845.0,2471.0,2845.0,2243.0,2689.0,10248.0,5088.0,5160.0,4714.0,5534.0,2243.0,2689.0,0.4859053126129382,2689.0,0.4859053126129382,0.521124031007752,0.521124031007752,0.44084119496855345,0.33546078367745746,0.44084119496855345,0.521124031007752,0.06092223236336303
CNN DIR model-CM-AGE&GENDER Mitigation,0.5067330210772834,0.5002927400468384,0.516783762685402,1.055421754228744,0.032095621923628914,0.8807394328376454,0.3878509742775887,0.5727094292238079,0.032095621923628914,0.6506553638893028,0.9511514441842317,0.06342630803958915,0.06342630803958915,0.2004956454056887,0.1425485594944904,0.010160045906977137,0.01026872539152439,0.6907449539052559,-0.20582835972517233,0.010122936042504027,0.11672968003667428,0.49326697892271665,0.0073643693726568316,1.0133775569325647,0.493202416918429,-0.15101193904801802,0.7409586472496996,0.47649697678954556,-0.010122936042503972,0.9783935728200116,0.4933360258481422,0.2499793517633594,1.4941918779594596,0.5100566295645381,0.11672968003667428,1.188642841551994,0.23856429567278706,0.11672968003667428,0.47649697678954556,0.5100566295645381,0.4899433704354618,0.5235030232104545,0.5066639741518578,2443.0,2612.0,2443.0,2612.0,2509.0,2684.0,10248.0,5121.0,5127.0,4952.0,5296.0,2509.0,2684.0,0.506797583081571,2684.0,0.506797583081571,0.5235030232104545,0.5235030232104545,0.4899433704354618,0.3312484378729271,0.4899433704354618,0.5235030232104545,0.010122936042504027
CNN DIR model-CM-AGE&GENDER Mitigation,0.5067330210772834,0.5002927400468384,0.516783762685402,1.055421754228744,0.032095621923628914,0.8807394328376454,0.3878509742775887,0.5727094292238079,0.032095621923628914,0.6506553638893028,0.9511514441842317,0.06342630803958915,0.06342630803958915,0.2004956454056887,0.1425485594944904,0.010160045906977137,0.01026872539152439,0.6907449539052559,-0.20582835972517233,0.010122936042504027,0.11672968003667428,0.49326697892271665,0.0073643693726568316,1.0133775569325647,0.493202416918429,-0.15101193904801802,0.7409586472496996,0.47649697678954556,-0.010122936042503972,0.9783935728200116,0.4933360258481422,0.2499793517633594,1.4941918779594596,0.5100566295645381,0.11672968003667428,1.188642841551994,0.23856429567278706,0.11672968003667428,0.47649697678954556,0.5100566295645381,0.4899433704354618,0.5235030232104545,0.5066639741518578,2443.0,2612.0,2443.0,2612.0,2509.0,2684.0,10248.0,5121.0,5127.0,4952.0,5296.0,2509.0,2684.0,0.506797583081571,2684.0,0.506797583081571,0.5235030232104545,0.5235030232104545,0.4899433704354618,0.3312484378729271,0.4899433704354618,0.5235030232104545,0.010122936042504027
CNN Reweighed model-CM-AGE&GENDER Mitigation,0.49395003903200624,0.5117096018735363,0.544496487119438,1.060986934351545,0.03756526000902505,0.8827117904749507,0.38959005252174667,0.5746420435980246,0.03756526000902505,0.757690129795863,0.9531225604996102,0.07013475294568244,0.07013475294568244,0.20789275324759884,0.15259212246099327,0.011642177918575384,0.011801781187266764,0.6880566812876879,-0.22261610314729474,0.053625929807520234,0.08664357608384465,0.5060499609679938,-0.05127382158429039,0.9108618512996087,0.49480286738351253,-0.19651886079006659,0.6653992651767957,0.46243325705568267,-0.053625929807520234,0.8825133704813374,0.5194944301628106,0.2192666457051311,1.394505595155355,0.5517585931254996,0.08664357608384465,1.127500722811945,0.23671099833231352,0.08664357608384465,0.46243325705568267,0.5517585931254996,0.4482414068745004,0.5375667429443173,0.4805055698371894,2425.0,2761.0,2425.0,2761.0,2243.0,2819.0,10248.0,5004.0,5244.0,4668.0,5580.0,2243.0,2819.0,0.5051971326164875,2819.0,0.5051971326164875,0.5375667429443173,0.5375667429443173,0.4482414068745004,0.32937545023945225,0.4482414068745004,0.5375667429443173,0.053625929807520234
CNN Reweighed model-CM-AGE&GENDER Mitigation,0.49395003903200624,0.5117096018735363,0.544496487119438,1.060986934351545,0.03756526000902505,0.8827117904749507,0.38959005252174667,0.5746420435980246,0.03756526000902505,0.757690129795863,0.9531225604996102,0.07013475294568244,0.07013475294568244,0.20789275324759884,0.15259212246099327,0.011642177918575384,0.011801781187266764,0.6880566812876879,-0.22261610314729474,0.053625929807520234,0.08664357608384465,0.5060499609679938,-0.05127382158429039,0.9108618512996087,0.49480286738351253,-0.19651886079006659,0.6653992651767957,0.46243325705568267,-0.053625929807520234,0.8825133704813374,0.5194944301628106,0.2192666457051311,1.394505595155355,0.5517585931254996,0.08664357608384465,1.127500722811945,0.23671099833231352,0.08664357608384465,0.46243325705568267,0.5517585931254996,0.4482414068745004,0.5375667429443173,0.4805055698371894,2425.0,2761.0,2425.0,2761.0,2243.0,2819.0,10248.0,5004.0,5244.0,4668.0,5580.0,2243.0,2819.0,0.5051971326164875,2819.0,0.5051971326164875,0.5375667429443173,0.5375667429443173,0.4482414068745004,0.32937545023945225,0.4482414068745004,0.5375667429443173,0.053625929807520234
RFC model-CM-GENDER Mitigation,0.4812646370023419,0.5035128805620609,0.540007806401249,0.756532593218172,-0.14811889897908598,0.14005332366246107,0.009807466734451039,0.009912038599542424,-0.14811889897908598,0.2934255907734742,0.9519516003122567,0.14781716058956398,-0.14781716058956398,0.1360311845724703,0.14005332366246107,0.009807466734451039,0.009912038599542424,0.693980861606315,0.02729703901489111,-0.07473309071687317,0.2209012304622548,0.5187353629976581,-0.07877107172605202,0.8580937728421956,0.5140946873870618,-0.20989290233189095,0.6482224297912341,0.47887596899224805,0.07473309071687312,1.170194038670313,0.5241832838353839,0.062169466813049634,1.1267436016820758,0.5591588050314465,-0.2209012304622548,0.6576747781553476,0.24080471813792165,0.2209012304622548,0.47887596899224805,0.5591588050314465,0.44084119496855345,0.521124031007752,0.475816716164616,2471.0,2845.0,2471.0,2845.0,2243.0,2689.0,10248.0,5088.0,5160.0,4714.0,5534.0,2243.0,2689.0,0.4859053126129382,2689.0,0.4859053126129382,0.521124031007752,0.521124031007752,0.44084119496855345,0.33546078367745746,0.44084119496855345,0.521124031007752,-0.07473309071687317
RFC model-CM-GENDER Mitigation,0.4812646370023419,0.5035128805620609,0.540007806401249,0.756532593218172,-0.14811889897908598,0.14005332366246107,0.009807466734451039,0.009912038599542424,-0.14811889897908598,0.2934255907734742,0.9519516003122567,0.14781716058956398,-0.14781716058956398,0.1360311845724703,0.14005332366246107,0.009807466734451039,0.009912038599542424,0.693980861606315,0.02729703901489111,-0.07473309071687317,0.2209012304622548,0.5187353629976581,-0.07877107172605202,0.8580937728421956,0.5140946873870618,-0.20989290233189095,0.6482224297912341,0.47887596899224805,0.07473309071687312,1.170194038670313,0.5241832838353839,0.062169466813049634,1.1267436016820758,0.5591588050314465,-0.2209012304622548,0.6576747781553476,0.24080471813792165,0.2209012304622548,0.47887596899224805,0.5591588050314465,0.44084119496855345,0.521124031007752,0.475816716164616,2471.0,2845.0,2471.0,2845.0,2243.0,2689.0,10248.0,5088.0,5160.0,4714.0,5534.0,2243.0,2689.0,0.4859053126129382,2689.0,0.4859053126129382,0.521124031007752,0.521124031007752,0.44084119496855345,0.33546078367745746,0.44084119496855345,0.521124031007752,-0.07473309071687317
RFC DIR model-CM-GENDER Mitigation,0.5042935206869633,0.5016588602654176,0.5211748633879781,0.8149829316483892,-0.10538989228480777,0.1196350075318622,0.007156267513574362,0.0072204509082784306,-0.10538989228480777,0.2846557594733059,0.9531030444964876,0.10900555453172484,-0.10900555453172484,0.14147578531703614,0.1196350075318622,0.007156267513574362,0.0072204509082784306,0.6903214085205952,-0.06566175341973157,-0.09601282412203138,0.12199828494141829,0.4957064793130367,-0.01582223705929664,0.9685430066077826,0.49428945890282716,-0.1540952634449429,0.7235401246272185,0.4746158334954289,0.09601282412203138,1.2265229531136144,0.49724882820460564,0.1288563071891295,1.298991801394056,0.5169375367143136,-0.12199828494141829,0.7839006488580338,0.2382718235309292,0.12199828494141829,0.4746158334954289,0.5169375367143136,0.4830624632856863,0.5253841665045711,0.5027511717953943,2440.0,2640.0,2440.0,2640.0,2467.0,2701.0,10248.0,5107.0,5141.0,4907.0,5341.0,2467.0,2701.0,0.5057105410971728,2701.0,0.5057105410971728,0.5253841665045711,0.5253841665045711,0.4830624632856863,0.33096076630964116,0.4830624632856863,0.5253841665045711,-0.09601282412203138
RFC DIR model-CM-GENDER Mitigation,0.5042935206869633,0.5016588602654176,0.5211748633879781,0.8149829316483892,-0.10538989228480777,0.1196350075318622,0.007156267513574362,0.0072204509082784306,-0.10538989228480777,0.2846557594733059,0.9531030444964876,0.10900555453172484,-0.10900555453172484,0.14147578531703614,0.1196350075318622,0.007156267513574362,0.0072204509082784306,0.6903214085205952,-0.06566175341973157,-0.09601282412203138,0.12199828494141829,0.4957064793130367,-0.01582223705929664,0.9685430066077826,0.49428945890282716,-0.1540952634449429,0.7235401246272185,0.4746158334954289,0.09601282412203138,1.2265229531136144,0.49724882820460564,0.1288563071891295,1.298991801394056,0.5169375367143136,-0.12199828494141829,0.7839006488580338,0.2382718235309292,0.12199828494141829,0.4746158334954289,0.5169375367143136,0.4830624632856863,0.5253841665045711,0.5027511717953943,2440.0,2640.0,2440.0,2640.0,2467.0,2701.0,10248.0,5107.0,5141.0,4907.0,5341.0,2467.0,2701.0,0.5057105410971728,2701.0,0.5057105410971728,0.5253841665045711,0.5253841665045711,0.4830624632856863,0.33096076630964116,0.4830624632856863,0.5253841665045711,-0.09601282412203138
